group,clip_index,file_name,ref_start,ref_end,duration,source_start_median,source_end_median,mean_score,min_score,samples
YOSHINO,2,Direct continuation from the supplied last frame_ Same Yoshi.mp4,111.52027893066406,111.77027893066406,0.25,0.5,0.5,0.11446669697761536,0.11446669697761536,1
MOMIJI,38,B1 _ one continuous four-second cinematic take from the exac.mp4,111.77032470703125,119.52168273925781,7.75,0.0,2.75,0.8510588157561517,0.13927099108695984,31
MOMIJI,39,C1 _ one continuous four-second intimate portrait take from.mp4,119.521728515625,125.0226821899414,5.5,0.0,3.5,0.9261661903424696,0.5122080445289612,22
MOMIJI,40,C2 _ one continuous four-second intimate take from the exact.mp4,125.0227279663086,127.2730941772461,2.25,0.375,2.125,0.9696134130160013,0.9201223850250244,9
MOMIJI,50,Merge the two separate smoke bursts into one single continuo.mp4,127.27313995361328,130.523681640625,3.25,2.0,4.5,0.9399883242753836,0.7079375982284546,13
MOMIJI,46,E _ one continuous four-second closing take from the exact s.mp4,130.5237274169922,131.52386474609375,1.0,2.5,2.25,0.4952070489525795,0.354966938495636,4
SAKURI,12,Bridge 2A_ Create one continuous four-second practical in-ca.mp4,131.52391052246094,131.77391052246094,0.25,3.5,3.5,0.12242284417152405,0.12242284417152405,1
MOMIJI,43,D1 _ one continuous four-second full-body preparation take f.mp4,131.77395629882812,133.77427673339844,2.0,0.375,0.625,0.788937158882618,0.5815625190734863,8
MOMIJI,53,"Repair only the hand-to-fabric contact. At the anchor frame,.mp4",133.77432250976562,137.02487182617188,3.25,1.0,3.5,0.9622087157689608,0.6378803849220276,13
MOMIJI,56,TURN D1 _ one continuous five-second full-body relay shot fr.mp4,137.02491760253906,140.27545166015625,3.25,1.5,4.25,0.907245567211738,0.7555579543113708,13
MOMIJI,57,TURN D2 _ one continuous five-second full-body continuation.mp4,140.27549743652344,143.77609252929688,3.5,0.75,4.25,0.9585231329713549,0.8986037373542786,14
MOMIJI,54,Repair only the sleeve-sweep physics in this exact shot. At_.mp4,143.77613830566406,145.0263214111328,1.25,1.75,2.5,0.6458766132593154,0.10816605389118195,5
MOMIJI,46,E _ one continuous four-second closing take from the exact s.mp4,145.0263671875,146.27655029296875,1.25,2.25,3.75,0.5698371171951294,0.25260305404663086,5
SETSUKA,64,Create one continuous cinematic 4-second transition using th.mp4,146.27659606933594,151.2774658203125,5.0,0.25,4.0,0.9787710100412369,0.8970295786857605,20
SETSUKA,71,Single continuous five-second opening shot using the supplie.mp4,151.2775115966797,151.5275115966797,0.25,0.75,0.75,0.995646595954895,0.995646595954895,1
SETSUKA,73,Use the supplied source clip as the exact motion base and pr.mp4,151.52755737304688,153.27781677246094,1.75,1.0,2.5,0.962572089263371,0.8229236602783203,7
SETSUKA,71,Single continuous five-second opening shot using the supplie.mp4,153.27786254882812,154.0279541015625,0.75,2.75,3.25,0.8352266351381937,0.7887441515922546,3
SETSUKA,73,Use the supplied source clip as the exact motion base and pr.mp4,154.0279998779297,155.27818298339844,1.25,3.75,4.75,0.9589363932609558,0.9348906874656677,5
SETSUKA,67,Create one continuous five-second continuity bridge_ Treat t.mp4,155.27822875976562,159.02886962890625,3.75,0.5,4.5,0.9760633865992229,0.8920250535011292,15
SETSUKA,60,Animate the supplied start and end frames as one continuous.mp4,159.02891540527344,162.77955627441406,3.75,0.75,4.5,0.9935266296068828,0.9830450415611267,15
SETSUKA,72,Single continuous five-second shot using the supplied images.mp4,162.77960205078125,166.5302276611328,3.75,0.5,4.0,0.9769046783447266,0.9233446717262268,15
SETSUKA,65,Create one continuous five-second continuity bridge between.mp4,166.5302734375,170.03086853027344,3.5,0.5,4.5,0.9800513514450618,0.8864057064056396,14
SETSUKA,69,Create one continuous five-second motion between the supplie.mp4,170.03091430664062,171.78118896484375,1.75,1.75,3.25,0.9512223175593785,0.8341953754425049,7
SETSUKA,66,Create one continuous five-second continuity bridge from the.mp4,171.78123474121094,174.78173828125,3.0,1.25,4.75,0.9836746652921041,0.9058589935302734,12
SETSUKA,61,Create a seamless transition from the supplied moon-gate rea.mp4,174.7817840576172,177.7822723388672,3.0,0.75,3.5,0.9187227785587311,0.7640326023101807,12
SETSUKA,68,Create one continuous five-second motion between the supplie (1).mp4,177.78231811523438,181.2829132080078,3.5,0.75,4.25,0.9829967873437064,0.9573060870170593,14
SETSUKA,62,Create a seamless transition from the supplied snowy forest.mp4,181.282958984375,184.78355407714844,3.5,0.5,3.75,0.928524592093059,0.7424132823944092,14
SETSUKA,59,Add elegant cinematic magic to the existing architectural tr.mp4,184.78359985351562,186.53387451171875,1.75,0.75,2.25,0.9941496508462089,0.9920745491981506,7
SETSUKA,70,Create one continuous five-second palace-approach motion bet.mp4,186.53392028808594,188.53424072265625,2.0,3.0,4.625,0.9901953339576721,0.9732892513275146,8
SETSUKA,63,Create a seamless transition from the supplied snowy palace.mp4,188.53428649902344,191.03468322753906,2.5,0.375,2.75,0.9350153625011444,0.6789000630378723,10
MAGIC,81,One continuous five-second opening shot_ The camera is compl.mp4,191.03472900390625,194.5353240966797,3.5,0.0,3.75,0.8203397542238235,0.11218073964118958,14
MAGIC,78,Create one continuous five-second replacement bridge ONLY fo.mp4,194.53536987304688,199.03614807128906,4.5,1.375,4.625,0.9061225213938289,0.11419425904750824,18
MAGIC,83,One continuous five-second shot connecting the supplied wide.mp4,199.03619384765625,204.28709411621094,5.25,0.75,4.5,0.9530314150310698,0.8991667032241821,21
MAGIC,76,Create one continuous five-second repair bridge for the midd.mp4,204.28713989257812,209.0379638671875,4.75,0.625,4.375,0.9756467593343634,0.9634879231452942,19
MAGIC,77,Create one continuous five-second repair shot for the look-b.mp4,209.0380096435547,214.28890991210938,5.25,0.5,4.5,0.9910294640631903,0.9868459105491638,21
MAGIC,79,One continuous five-second invitation gesture from the suppl (1).mp4,214.28895568847656,214.78900146484375,0.5,0.0,0.0,0.9894764721393585,0.9869719743728638,2
MAGIC,75,Create one continuous five-second repair bridge between the.mp4,214.78904724121094,218.0395965576172,3.25,1.0,3.5,0.9921651986929086,0.9897154569625854,13
MAGIC,74,Create one continuous 4-second cinematic ending transition s.mp4,218.03964233398438,222.29037475585938,4.25,0.375,3.375,0.7943518650444115,0.04403018578886986,17
MAGIC,78,Create one continuous five-second replacement bridge ONLY fo.mp4,222.29042053222656,223.29055786132812,1.0,0.5,2.5,0.324758879840374,0.15724724531173706,4
MAGIC,80,One continuous five-second invitation gesture from the suppl.mp4,223.2906036376953,229.04159545898438,5.75,2.0,2.0,0.3892963003853093,0.08696018159389496,23
MOMIJI,46,E _ one continuous four-second closing take from the exact s.mp4,229.04164123535156,229.29164123535156,0.25,2.0,2.0,0.24854223430156708,0.24854223430156708,1
