ref_sample,ref_time,dp_group,top1_group,top1_clip,top1_source_time,top1_score,top2_group,top2_clip,top2_source_time,top2_score,top3_group,top3_clip,top3_source_time,top3_score,top4_group,top4_clip,top4_source_time,top4_score,top5_group,top5_clip,top5_source_time,top5_score,score_YOSHINO,score_SAKURI,score_TSUKUYOMI,score_MOMIJI,score_SETSUKA,score_MAGIC
10,2.5004546642303467,PRE,MAGIC,One continuous five-second portrait shot from the supplied m.mp4,4.0,0.43268370628356934,MAGIC,One continuous five-second portrait shot from the supplied m.mp4,4.25,0.41207006573677063,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",3.5,0.40528157353401184,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",1.75,0.3987215459346771,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,1.75,0.3967665433883667,0.3354049026966095,0.37078070640563965,0.38531494140625,0.40528157353401184,0.39328449964523315,0.43268370628356934
11,2.750500202178955,PRE,MAGIC,One continuous five-second portrait shot from the supplied m.mp4,4.0,0.45587676763534546,MAGIC,One continuous five-second portrait shot from the supplied m.mp4,4.25,0.43764352798461914,TSUKUYOMI,Create one continuous 4-second cinematic transition using th (1).mp4,1.5,0.40732336044311523,MAGIC,One continuous five-second portrait shot from the supplied m.mp4,4.5,0.404451459646225,MAGIC,One continuous five-second portrait shot from the supplied m.mp4,3.75,0.4037264585494995,0.3434985876083374,0.37225574254989624,0.40732336044311523,0.4010784924030304,0.3853169083595276,0.45587676763534546
12,3.0005455017089844,PRE,TSUKUYOMI,Create one continuous 4-second cinematic transition using th.mp4,2.25,0.42043665051460266,MAGIC,One continuous five-second portrait shot from the supplied m.mp4,4.75,0.4201505184173584,MAGIC,One continuous five-second portrait shot from the supplied m.mp4,4.5,0.41201692819595337,MAGIC,One continuous five-second portrait shot from the supplied m.mp4,5.0,0.4094700515270233,MAGIC,One continuous five-second portrait shot from the supplied m.mp4,4.25,0.4072047472000122,0.3135625422000885,0.25237658619880676,0.42043665051460266,0.3058794438838959,0.20408475399017334,0.4201505184173584
13,3.2505910396575928,PRE,MAGIC,One continuous five-second portrait shot from the supplied m.mp4,4.25,0.3291313946247101,SAKURI,Single continuous 4-second closing take_ Begin exactly at th.mp4,1.5,0.3055139183998108,MAGIC,One continuous five-second portrait shot from the supplied m.mp4,4.0,0.30335861444473267,SAKURI,SAKURI_NO_NAMEPLATE_SAFE_MASTER_1080P48.mp4,25.25,0.30106282234191895,MAGIC,One continuous five-second portrait shot from the supplied m.mp4,5.0,0.2957718074321747,0.22714665532112122,0.3055139183998108,0.2886488735675812,0.23160207271575928,0.24329254031181335,0.3291313946247101
14,3.500636577606201,PRE,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,2.0,0.3346778452396393,SETSUKA,Use the supplied source clip as the exact motion base and pr.mp4,1.5,0.30716392397880554,SETSUKA,Single continuous five-second opening shot using the supplie.mp4,1.5,0.30254966020584106,SETSUKA,Use the supplied source clip as the exact motion base and pr.mp4,1.25,0.2966468334197998,TSUKUYOMI,Create one continuous 4-second cinematic transition between.mp4,3.25,0.29514026641845703,0.2804885804653168,0.24318648874759674,0.29514026641845703,0.23212991654872894,0.30716392397880554,0.3346778452396393
15,3.7506818771362305,PRE,SETSUKA,Use the supplied source clip as the exact motion base and pr.mp4,1.5,0.34463179111480713,SETSUKA,Single continuous five-second opening shot using the supplie.mp4,1.5,0.3381388485431671,SETSUKA,Use the supplied source clip as the exact motion base and pr.mp4,1.25,0.32265380024909973,SETSUKA,Create one continuous cinematic 4-second transition using th.mp4,3.25,0.3191959261894226,TSUKUYOMI,Create one continuous 4-second cinematic transition between.mp4,3.25,0.3188880681991577,0.28244727849960327,0.22913146018981934,0.3188880681991577,0.25233662128448486,0.34463179111480713,0.26301994919776917
16,4.00072717666626,PRE,SETSUKA,Use the supplied source clip as the exact motion base and pr.mp4,0.75,0.44149577617645264,SETSUKA,Single continuous five-second opening shot using the supplie.mp4,0.75,0.43712693452835083,SETSUKA,Use the supplied source clip as the exact motion base and pr.mp4,1.0,0.43508613109588623,SETSUKA,Create a seamless transition from the supplied snowy forest.mp4,3.25,0.4317021369934082,SETSUKA,Single continuous five-second opening shot using the supplie.mp4,1.0,0.426717072725296,0.12866918742656708,0.20762859284877777,0.3598096966743469,0.3782704174518585,0.44149577617645264,0.24163897335529327
17,4.250772953033447,PRE,SETSUKA,Create one continuous cinematic 4-second transition using th.mp4,3.0,0.442536860704422,SETSUKA,Use the supplied source clip as the exact motion base and pr.mp4,0.75,0.4343605637550354,SETSUKA,Single continuous five-second opening shot using the supplie.mp4,0.75,0.42949438095092773,SETSUKA,Create a seamless transition from the supplied snowy forest.mp4,3.25,0.4277261197566986,SETSUKA,Use the supplied source clip as the exact motion base and pr.mp4,1.0,0.42597848176956177,0.13788378238677979,0.18504813313484192,0.32991063594818115,0.36552441120147705,0.442536860704422,0.24639499187469482
18,4.500818252563477,PRE,SETSUKA,Use the supplied source clip as the exact motion base and pr.mp4,0.75,0.42833980917930603,SETSUKA,Create one continuous cinematic 4-second transition using th.mp4,3.0,0.4226231575012207,SETSUKA,Single continuous five-second opening shot using the supplie.mp4,0.75,0.42188704013824463,SETSUKA,Use the supplied source clip as the exact motion base and pr.mp4,1.0,0.41658473014831543,SETSUKA,Single continuous five-second opening shot using the supplie.mp4,1.0,0.40852487087249756,0.16730016469955444,0.16369827091693878,0.3235679864883423,0.31899258494377136,0.42833980917930603,0.22775664925575256
19,4.750864028930664,PRE,SETSUKA,Use the supplied source clip as the exact motion base and pr.mp4,0.75,0.4116925895214081,SETSUKA,Single continuous five-second opening shot using the supplie.mp4,0.75,0.40337181091308594,SETSUKA,Use the supplied source clip as the exact motion base and pr.mp4,1.0,0.39741250872612,SETSUKA,Single continuous five-second opening shot using the supplie.mp4,1.0,0.39026886224746704,SETSUKA,Create one continuous cinematic 4-second transition using th.mp4,3.0,0.388716459274292,0.17674139142036438,0.2065940797328949,0.30039915442466736,0.277180016040802,0.4116925895214081,0.2129540741443634
20,5.000909328460693,PRE,SETSUKA,Create one continuous cinematic 4-second transition using th.mp4,3.0,0.35993027687072754,SETSUKA,Use the supplied source clip as the exact motion base and pr.mp4,0.75,0.34651148319244385,SETSUKA,Single continuous five-second opening shot using the supplie.mp4,0.75,0.3382973074913025,SETSUKA,Use the supplied source clip as the exact motion base and pr.mp4,1.0,0.3230087161064148,SETSUKA,Single continuous five-second opening shot using the supplie.mp4,1.0,0.31647786498069763,0.23752279579639435,0.24138620495796204,0.314678430557251,0.2713211178779602,0.35993027687072754,0.2094929814338684
21,5.250954627990723,PRE,SETSUKA,Create one continuous cinematic 4-second transition using th.mp4,3.25,0.3424052894115448,TSUKUYOMI,Create one continuous 4-second cinematic transition between.mp4,3.0,0.3303326666355133,SETSUKA,Use the supplied source clip as the exact motion base and pr.mp4,0.75,0.32937073707580566,SETSUKA,Single continuous five-second opening shot using the supplie.mp4,0.75,0.32179659605026245,SETSUKA,Use the supplied source clip as the exact motion base and pr.mp4,1.0,0.3096092939376831,0.24176520109176636,0.2918476462364197,0.3303326666355133,0.27295011281967163,0.3424052894115448,0.20327985286712646
22,5.50100040435791,PRE,TSUKUYOMI,Create one continuous 4-second cinematic transition between.mp4,4.0,0.13012270629405975,TSUKUYOMI,Create one continuous 4-second cinematic transition between.mp4,3.75,0.12482885271310806,TSUKUYOMI,Create one continuous 4-second cinematic transition between.mp4,3.5,0.12185569852590561,TSUKUYOMI,Single continuous cinematic shot from the supplied start fra (1).mp4,2.0,0.12051402777433395,TSUKUYOMI,Create one continuous 4-second cinematic transition between.mp4,3.25,0.12005538493394852,0.03862248733639717,0.04586459696292877,0.13012270629405975,0.07449829578399658,0.05789748951792717,0.06443247199058533
23,5.7510457038879395,PRE,MOMIJI,TURN D2 _ one continuous five-second full-body continuation.mp4,2.0,0.30056244134902954,MOMIJI,Edit this exact 9_5-second rotation shot while preserving th.mp4,6.25,0.3000956177711487,YOSHINO,ONE continuous seamless cinematic shot_ never montage_ cross.mp4,2.25,0.29300230741500854,MOMIJI,Edit this exact 9_5-second rotation shot while preserving th.mp4,6.5,0.2896465063095093,YOSHINO,agent_generate_video_edit - Camera pushes forward while arcing toward the front-right of….mp4,2.25,0.28853973746299744,0.29300230741500854,0.270825058221817,0.25422075390815735,0.30056244134902954,0.1675553023815155,0.19080176949501038
24,6.001091003417969,PRE,MOMIJI,C1 _ one continuous four-second intimate portrait take from.mp4,3.5,0.3372710347175598,YOSHINO,ONE continuous seamless cinematic shot_ never montage_ cross.mp4,2.25,0.33174780011177063,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",0.0,0.32628387212753296,MOMIJI,C2 _ one continuous four-second intimate take from the exact.mp4,0.75,0.3245924115180969,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,0.0,0.32413583993911743,0.33174780011177063,0.2763637900352478,0.29294562339782715,0.3372710347175598,0.1852521002292633,0.2250363826751709
25,6.251136779785156,PRE,MOMIJI,C1 _ one continuous four-second intimate portrait take from.mp4,3.5,0.3432431221008301,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",0.0,0.34138089418411255,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,0.0,0.3401371240615845,MOMIJI,C2 _ one continuous four-second intimate take from the exact.mp4,0.75,0.33857959508895874,YOSHINO,ONE continuous seamless cinematic shot_ never montage_ cross.mp4,2.25,0.3348046541213989,0.3348046541213989,0.26740679144859314,0.2949084937572479,0.3432431221008301,0.1985315978527069,0.23224221169948578
26,6.5011820793151855,PRE,MOMIJI,C1 _ one continuous four-second intimate portrait take from.mp4,3.5,0.3522174656391144,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",0.0,0.3515029549598694,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,0.0,0.3501310348510742,MOMIJI,C2 _ one continuous four-second intimate take from the exact.mp4,0.75,0.34937289357185364,MOMIJI,C1 _ one continuous four-second intimate portrait take from.mp4,3.75,0.3478093147277832,0.3358740210533142,0.26169130206108093,0.29835787415504456,0.3522174656391144,0.20856979489326477,0.23042236268520355
27,6.751227378845215,PRE,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",0.0,0.35509833693504333,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,0.0,0.3540702164173126,MOMIJI,C2 _ one continuous four-second intimate take from the exact.mp4,0.75,0.35223788022994995,MOMIJI,C1 _ one continuous four-second intimate portrait take from.mp4,3.75,0.3502255082130432,MOMIJI,C1 _ one continuous four-second intimate portrait take from.mp4,3.5,0.35005438327789307,0.3363249897956848,0.24343982338905334,0.2964203953742981,0.35509833693504333,0.2350464165210724,0.2322821170091629
28,7.001273155212402,PRE,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",0.0,0.3531859517097473,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,0.0,0.352522611618042,MOMIJI,C2 _ one continuous four-second intimate take from the exact.mp4,1.0,0.3493882417678833,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",0.5,0.3444065749645233,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,0.5,0.3437816798686981,0.32414430379867554,0.239073246717453,0.28453493118286133,0.3531859517097473,0.25589311122894287,0.23923727869987488
29,7.251318454742432,PRE,MOMIJI,C2 _ one continuous four-second intimate take from the exact.mp4,1.0,0.36458835005760193,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",0.25,0.34877049922943115,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",0.5,0.3486224412918091,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,0.5,0.34836891293525696,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,0.25,0.3480782210826874,0.3171822428703308,0.2409587949514389,0.274982750415802,0.36458835005760193,0.2808670401573181,0.23629364371299744
30,7.501363754272461,PRE,MOMIJI,C2 _ one continuous four-second intimate take from the exact.mp4,1.0,0.3731011152267456,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",0.5,0.3584930896759033,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,0.5,0.35689789056777954,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",0.0,0.3540593683719635,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",0.25,0.35271334648132324,0.30719083547592163,0.24574445188045502,0.27413177490234375,0.3731011152267456,0.292898029088974,0.24285700917243958
31,7.751409530639648,PRE,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",0.5,0.36385035514831543,MOMIJI,C2 _ one continuous four-second intimate take from the exact.mp4,1.0,0.3630251884460449,MOMIJI,C2 _ one continuous four-second intimate take from the exact.mp4,1.25,0.3625575006008148,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,0.5,0.36168810725212097,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",0.0,0.3613584637641907,0.3108503222465515,0.26243236660957336,0.2810280919075012,0.36385035514831543,0.30212849378585815,0.2586098611354828
32,8.00145435333252,PRE,MOMIJI,C1 _ one continuous four-second intimate portrait take from.mp4,3.0,0.3406035602092743,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",0.5,0.3386966288089752,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,0.75,0.3385167121887207,MOMIJI,C1 _ one continuous four-second intimate portrait take from.mp4,2.75,0.3379771113395691,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,0.5,0.33754023909568787,0.3005787134170532,0.2327665388584137,0.27843594551086426,0.3406035602092743,0.2906884551048279,0.2918144762516022
33,8.251500129699707,PRE,MOMIJI,E _ one continuous four-second closing take from the exact s.mp4,2.0,0.2418222874403,MOMIJI,E _ one continuous four-second closing take from the exact s.mp4,1.5,0.22347736358642578,MOMIJI,Repair only the causal arm-to-sleeve pose at this anchor fra.mp4,3.25,0.17078252136707306,MOMIJI,Repair only the sleeve-sweep physics in this exact shot. At_.mp4,3.25,0.15929897129535675,SAKURI,Create one continuous cinematic transition shot connecting t.mp4,1.75,0.14887699484825134,0.08822451531887054,0.14887699484825134,0.10458250343799591,0.2418222874403,0.14272481203079224,0.1195574477314949
34,8.501545906066895,PRE,TSUKUYOMI,Create one continuous 4-second cinematic transition using th (1).mp4,1.75,0.4245489239692688,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.5,0.4088529348373413,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.75,0.39556097984313965,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.25,0.3857472538948059,TSUKUYOMI,Create one continuous 4-second cinematic transition using th (1).mp4,2.25,0.37860581278800964,0.37147969007492065,0.23955516517162323,0.4245489239692688,0.3290332853794098,0.30570244789123535,0.4088529348373413
35,8.751590728759766,PRE,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",1.25,0.3821149468421936,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.75,0.3819880187511444,TSUKUYOMI,Create one continuous 4-second cinematic transition using th (1).mp4,1.75,0.3798626959323883,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.5,0.3770519495010376,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,1.25,0.3763091564178467,0.3016951382160187,0.28303250670433044,0.3798626959323883,0.3821149468421936,0.273495078086853,0.3819880187511444
36,9.001636505126953,PRE,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",1.25,0.41198042035102844,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,1.25,0.40691861510276794,MOMIJI,C2 _ one continuous four-second intimate take from the exact.mp4,2.0,0.3879527151584625,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.5,0.38213008642196655,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.75,0.3735443949699402,0.317415326833725,0.32269757986068726,0.3474233150482178,0.41198042035102844,0.28467243909835815,0.38213008642196655
37,9.25168228149414,PRE,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",1.25,0.44365766644477844,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,1.25,0.4404640197753906,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,2.0,0.43198707699775696,MOMIJI,C2 _ one continuous four-second intimate take from the exact.mp4,2.0,0.4261407256126404,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.5,0.41502565145492554,0.3345355987548828,0.35024040937423706,0.3796273469924927,0.44365766644477844,0.2878296375274658,0.43198707699775696
38,9.501728057861328,PRE,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",1.25,0.4386259913444519,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,1.25,0.43655529618263245,MOMIJI,C2 _ one continuous four-second intimate take from the exact.mp4,2.0,0.41791895031929016,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,2.0,0.4106654226779938,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.5,0.38571298122406006,0.30725622177124023,0.36477917432785034,0.38417667150497437,0.4386259913444519,0.3172524571418762,0.4106654226779938
39,9.7517728805542,PRE,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",1.25,0.4408109784126282,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,1.25,0.4386977553367615,MOMIJI,C2 _ one continuous four-second intimate take from the exact.mp4,2.0,0.4227924346923828,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,2.0,0.39378541707992554,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.75,0.38184142112731934,0.292793869972229,0.35469532012939453,0.35887622833251953,0.4408109784126282,0.32066109776496887,0.39378541707992554
40,10.001818656921387,PRE,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",1.25,0.43404126167297363,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,1.25,0.4323723316192627,MOMIJI,C2 _ one continuous four-second intimate take from the exact.mp4,2.0,0.4051031768321991,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.75,0.3936944901943207,MOMIJI,C2 _ one continuous four-second intimate take from the exact.mp4,1.75,0.3794656991958618,0.28751254081726074,0.3505946695804596,0.3564121723175049,0.43404126167297363,0.3242334723472595,0.3936944901943207
41,10.251864433288574,PRE,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",1.25,0.4002789855003357,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,1.25,0.3987278342247009,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.75,0.39219725131988525,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.5,0.3773242235183716,SAKURI,Bridge 2B_ One continuous four-second transition between the.mp4,2.25,0.3728331923484802,0.2759508788585663,0.3728331923484802,0.34736111760139465,0.4002789855003357,0.3356388211250305,0.39219725131988525
42,10.501909255981445,PRE,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.5,0.3856963813304901,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.25,0.38125675916671753,SAKURI,Bridge 2B_ One continuous four-second transition between the.mp4,2.25,0.3806811571121216,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",1.25,0.37567710876464844,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,1.25,0.37472110986709595,0.28692376613616943,0.3806811571121216,0.3415791988372803,0.37567710876464844,0.3470734655857086,0.3856963813304901
43,10.751955032348633,PRE,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4",1.25,0.4178604185581207,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,1.25,0.41777217388153076,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.5,0.4076908230781555,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.25,0.4046657383441925,SAKURI,Bridge 2B_ One continuous four-second transition between the.mp4,2.25,0.40081214904785156,0.29802873730659485,0.40081214904785156,0.3879605531692505,0.4178604185581207,0.3374722898006439,0.4076908230781555
44,11.00200080871582,PRE,TSUKUYOMI,Create one continuous 4-second cinematic transition using th (1).mp4,2.25,0.40242141485214233,TSUKUYOMI,Create one continuous 4-second cinematic transition using th (1).mp4,1.75,0.3945642113685608,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.5,0.3935440182685852,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,1.25,0.3870554566383362,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.25,0.38609248399734497,0.276865154504776,0.37255075573921204,0.40242141485214233,0.3870554566383362,0.3218979835510254,0.3935440182685852
45,11.252045631408691,PRE,TSUKUYOMI,Create one continuous 4-second cinematic transition using th (1).mp4,1.75,0.3786000609397888,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.5,0.3718455135822296,TSUKUYOMI,Create one continuous 4-second cinematic transition using th (1).mp4,2.25,0.37004512548446655,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,1.25,0.35802894830703735,MAGIC,Create one continuous 4-second cinematic ending transition s.mp4,1.25,0.35779869556427,0.2789609134197235,0.31209978461265564,0.3786000609397888,0.35802894830703735,0.2853052616119385,0.3718455135822296
