clip_index,group,path,file_name,samples,fps,frames,duration,top1_hits,top1_seconds,mean_top1_score,max_top1_score
10,SAKURI,work/sources/SAKURI/RUNWAY/Bridge 1A_ One continuous four-second repair shot between th.mp4,Bridge 1A_ One continuous four-second repair shot between th.mp4,17,24.0,97,4.041666666666667,0,0.0,,
11,SAKURI,work/sources/SAKURI/RUNWAY/Bridge 1B_ One continuous four-second transition between the.mp4,Bridge 1B_ One continuous four-second transition between the.mp4,17,24.0,97,4.041666666666667,0,0.0,,
12,SAKURI,work/sources/SAKURI/RUNWAY/Bridge 2A_ Create one continuous four-second practical in-ca.mp4,Bridge 2A_ Create one continuous four-second practical in-ca.mp4,17,24.0,97,4.041666666666667,2,0.5,0.4125087261199951,0.48026275634765625
13,SAKURI,work/sources/SAKURI/RUNWAY/Bridge 2B_ One continuous four-second transition between the.mp4,Bridge 2B_ One continuous four-second transition between the.mp4,17,24.0,97,4.041666666666667,12,3.0,0.9971549808979034,0.9990196228027344
14,SAKURI,work/sources/SAKURI/RUNWAY/Bridge 3A_ One continuous four-second repair shot between th.mp4,Bridge 3A_ One continuous four-second repair shot between th.mp4,17,24.0,97,4.041666666666667,0,0.0,,
15,SAKURI,work/sources/SAKURI/RUNWAY/Bridge 3B_ One continuous four-second closing transition bet.mp4,Bridge 3B_ One continuous four-second closing transition bet.mp4,17,24.0,97,4.041666666666667,0,0.0,,
16,SAKURI,work/sources/SAKURI/RUNWAY/Create a single continuous four-second cinematic bridge from.mp4,Create a single continuous four-second cinematic bridge from.mp4,17,24.0,97,4.041666666666667,0,0.0,,
17,SAKURI,work/sources/SAKURI/RUNWAY/Create one continuous cinematic transition shot connecting t.mp4,Create one continuous cinematic transition shot connecting t.mp4,17,24.0,97,4.041666666666667,4,1.0,0.9720942676067352,0.9992145299911499
18,SAKURI,work/sources/SAKURI/RUNWAY/Create one continuous four-second in-camera transition betwe.mp4,Create one continuous four-second in-camera transition betwe.mp4,17,24.0,97,4.041666666666667,0,0.0,,
19,SAKURI,work/sources/SAKURI/RUNWAY/One continuous four-second camera-continuity repair between.mp4,One continuous four-second camera-continuity repair between.mp4,17,24.0,97,4.041666666666667,3,0.75,0.9675752520561218,0.9841331243515015
20,SAKURI,work/sources/SAKURI/RUNWAY/One continuous four-second conservative repair shot connecti.mp4,One continuous four-second conservative repair shot connecti.mp4,17,24.0,97,4.041666666666667,0,0.0,,
21,SAKURI,work/sources/SAKURI/RUNWAY/One continuous four-second macro fabric repair shot connecti.mp4,One continuous four-second macro fabric repair shot connecti.mp4,17,24.0,97,4.041666666666667,1,0.25,0.7179040908813477,0.7179040908813477
22,SAKURI,work/sources/SAKURI/RUNWAY/One continuous four-second repair shot between two adjacent.mp4,One continuous four-second repair shot between two adjacent.mp4,17,24.0,97,4.041666666666667,2,0.5,0.40910060703754425,0.43460431694984436
23,SAKURI,work/sources/SAKURI/RUNWAY/SAKURI_NO_NAMEPLATE_SAFE_MASTER_1080P48.mp4,SAKURI_NO_NAMEPLATE_SAFE_MASTER_1080P48.mp4,124,48.0,1479,30.8125,103,25.75,0.9400106338621343,0.999786376953125
24,SAKURI,work/sources/SAKURI/RUNWAY/Single continuous 4-second closing take_ Begin exactly at th.mp4,Single continuous 4-second closing take_ Begin exactly at th.mp4,17,24.0,97,4.041666666666667,0,0.0,,
25,SAKURI,work/sources/SAKURI/RUNWAY/Single continuous 5-second take_ Begin exactly at the suppli (1).mp4,Single continuous 5-second take_ Begin exactly at the suppli (1).mp4,21,24.0,121,5.041666666666667,0,0.0,,
26,SAKURI,work/sources/SAKURI/RUNWAY/Single continuous 5-second take_ Begin exactly at the suppli.mp4,Single continuous 5-second take_ Begin exactly at the suppli.mp4,21,24.0,121,5.041666666666667,0,0.0,,
27,SAKURI,work/sources/SAKURI/RUNWAY/Single continuous 6-second take_ Begin exactly at the suppli (1).mp4,Single continuous 6-second take_ Begin exactly at the suppli (1).mp4,25,24.0,145,6.041666666666667,14,3.5,0.9555318100111825,0.9778637886047363
28,SAKURI,work/sources/SAKURI/RUNWAY/Single continuous 6-second take_ Begin exactly at the suppli.mp4,Single continuous 6-second take_ Begin exactly at the suppli.mp4,25,24.0,145,6.041666666666667,0,0.0,,
29,TSUKUYOMI,work/sources/TSUKUYOMI/runway月詠/Create one continuous 4-second cinematic transition between.mp4,Create one continuous 4-second cinematic transition between.mp4,17,24.0,97,4.041666666666667,20,5.0,0.7309618212282658,0.9980573654174805
30,TSUKUYOMI,work/sources/TSUKUYOMI/runway月詠/Create one continuous 4-second cinematic transition using th (1).mp4,Create one continuous 4-second cinematic transition using th (1).mp4,17,24.0,97,4.041666666666667,19,4.75,0.8716093050806146,0.9991065263748169
31,TSUKUYOMI,work/sources/TSUKUYOMI/runway月詠/Create one continuous 4-second cinematic transition using th.mp4,Create one continuous 4-second cinematic transition using th.mp4,17,24.0,97,4.041666666666667,1,0.25,0.42043665051460266,0.42043665051460266
32,TSUKUYOMI,work/sources/TSUKUYOMI/runway月詠/Single continuous cinematic shot from the supplied start fra (1).mp4,Single continuous cinematic shot from the supplied start fra (1).mp4,17,24.0,97,4.041666666666667,17,4.25,0.995187100242166,0.9986779689788818
33,TSUKUYOMI,work/sources/TSUKUYOMI/runway月詠/Single continuous cinematic shot from the supplied start fra.mp4,Single continuous cinematic shot from the supplied start fra.mp4,21,24.0,121,5.041666666666667,20,5.0,0.9977328717708588,0.9989646673202515
34,TSUKUYOMI,work/sources/TSUKUYOMI/runway月詠/Single continuous cinematic shot of the exact same adult wom.mp4,Single continuous cinematic shot of the exact same adult wom.mp4,17,24.0,97,4.041666666666667,18,4.5,0.8887874732414881,0.9971871376037598
35,TSUKUYOMI,work/sources/TSUKUYOMI/runway月詠/Single continuous cinematic shot_ continuing from the suppli.mp4,Single continuous cinematic shot_ continuing from the suppli.mp4,21,24.0,121,5.041666666666667,21,5.25,0.9891026814778646,0.9987133741378784
36,TSUKUYOMI,work/sources/TSUKUYOMI/runway月詠/Single continuous cinematic transition from the exact suppli.mp4,Single continuous cinematic transition from the exact suppli.mp4,17,24.0,97,4.041666666666667,5,1.25,0.9604434251785279,0.9924237728118896
37,MOMIJI,work/sources/MOMIJI/runway紅葉/A single continuous five-second shot from a fixed tripod_ Th.mp4,A single continuous five-second shot from a fixed tripod_ Th.mp4,21,24.0,121,5.041666666666667,1,0.25,0.9533629417419434,0.9533629417419434
38,MOMIJI,work/sources/MOMIJI/runway紅葉/B1 _ one continuous four-second cinematic take from the exac.mp4,B1 _ one continuous four-second cinematic take from the exac.mp4,17,24.0,97,4.041666666666667,30,7.5,0.8747850765784582,0.9962925314903259
39,MOMIJI,work/sources/MOMIJI/runway紅葉/C1 _ one continuous four-second intimate portrait take from.mp4,C1 _ one continuous four-second intimate portrait take from.mp4,17,24.0,97,4.041666666666667,30,7.5,0.7761513511339824,0.9965569972991943
40,MOMIJI,work/sources/MOMIJI/runway紅葉/C2 _ one continuous four-second intimate take from the exact.mp4,C2 _ one continuous four-second intimate take from the exact.mp4,17,24.0,97,4.041666666666667,10,2.5,0.8512634307146072,0.9964206218719482
41,MOMIJI,work/sources/MOMIJI/runway紅葉/Create a continuous four-second motion bridge between these.mp4,Create a continuous four-second motion bridge between these.mp4,17,24.0,97,4.041666666666667,0,0.0,,
42,MOMIJI,work/sources/MOMIJI/runway紅葉/Create one continuous four-second continuity bridge that rep.mp4,Create one continuous four-second continuity bridge that rep.mp4,17,24.0,97,4.041666666666667,0,0.0,,
43,MOMIJI,work/sources/MOMIJI/runway紅葉/D1 _ one continuous four-second full-body preparation take f.mp4,D1 _ one continuous four-second full-body preparation take f.mp4,17,24.0,97,4.041666666666667,7,1.75,0.8185621074267796,0.9908924102783203
44,MOMIJI,work/sources/MOMIJI/runway紅葉/D2 _ one continuous five-second full-body turning take from.mp4,D2 _ one continuous five-second full-body turning take from.mp4,21,24.0,121,5.041666666666667,0,0.0,,
45,MOMIJI,work/sources/MOMIJI/runway紅葉/D3 _ one continuous five-second full-body continuation from.mp4,D3 _ one continuous five-second full-body continuation from.mp4,21,24.0,121,5.041666666666667,0,0.0,,
46,MOMIJI,work/sources/MOMIJI/runway紅葉/E _ one continuous four-second closing take from the exact s.mp4,E _ one continuous four-second closing take from the exact s.mp4,17,24.0,97,4.041666666666667,13,3.25,0.4479118723135728,0.6693170070648193
47,MOMIJI,work/sources/MOMIJI/runway紅葉/END E _ one continuous four-second closing transition from t.mp4,END E _ one continuous four-second closing transition from t.mp4,17,24.0,97,4.041666666666667,2,0.5,0.7098762094974518,0.9348993897438049
48,MOMIJI,work/sources/MOMIJI/runway紅葉/Edit this exact 9_5-second rotation shot while preserving th.mp4,Edit this exact 9_5-second rotation shot while preserving th.mp4,37,24.0,217,9.041666666666666,1,0.25,0.7766874432563782,0.7766874432563782
49,MOMIJI,work/sources/MOMIJI/runway紅葉/LOCKED-OFF SINGLE TAKE_ The camera is physically bolted to a.mp4,LOCKED-OFF SINGLE TAKE_ The camera is physically bolted to a.mp4,21,24.0,121,5.041666666666667,0,0.0,,
50,MOMIJI,work/sources/MOMIJI/runway紅葉/Merge the two separate smoke bursts into one single continuo.mp4,Merge the two separate smoke bursts into one single continuo.mp4,20,24.0,120,5.0,13,3.25,0.9195755353340735,0.9938423037528992
51,MOMIJI,work/sources/MOMIJI/runway紅葉/One continuous five-second locked-tripod shot_ Keep the came.mp4,One continuous five-second locked-tripod shot_ Keep the came.mp4,21,24.0,121,5.041666666666667,21,5.25,0.9885571627389818,0.9963876008987427
52,MOMIJI,work/sources/MOMIJI/runway紅葉/Repair only the causal arm-to-sleeve pose at this anchor fra.mp4,Repair only the causal arm-to-sleeve pose at this anchor fra.mp4,14,24.0,80,3.3333333333333335,1,0.25,0.3995882272720337,0.3995882272720337
53,MOMIJI,"work/sources/MOMIJI/runway紅葉/Repair only the hand-to-fabric contact. At the anchor frame,.mp4","Repair only the hand-to-fabric contact. At the anchor frame,.mp4",16,24.0,96,4.0,14,3.5,0.9353721439838409,0.9979152679443359
54,MOMIJI,work/sources/MOMIJI/runway紅葉/Repair only the sleeve-sweep physics in this exact shot. At_.mp4,Repair only the sleeve-sweep physics in this exact shot. At_.mp4,14,24.0,80,3.3333333333333335,6,1.5,0.6518096973498663,0.9921430349349976
55,MOMIJI,"work/sources/MOMIJI/runway紅葉/Repair only the smoking gesture. At the anchor frame, move t.mp4","Repair only the smoking gesture. At the anchor frame, move t.mp4",20,24.0,120,5.0,20,5.0,0.4558701828122139,0.9917927980422974
56,MOMIJI,work/sources/MOMIJI/runway紅葉/TURN D1 _ one continuous five-second full-body relay shot fr.mp4,TURN D1 _ one continuous five-second full-body relay shot fr.mp4,21,24.0,121,5.041666666666667,12,3.0,0.9198862016201019,0.9895540475845337
57,MOMIJI,work/sources/MOMIJI/runway紅葉/TURN D2 _ one continuous five-second full-body continuation.mp4,TURN D2 _ one continuous five-second full-body continuation.mp4,21,24.0,121,5.041666666666667,16,4.0,0.8867043405771255,0.9902957677841187
58,MOMIJI,work/sources/MOMIJI/runway紅葉/agent_generate_video - Cinematic single continuous take_ no cuts_ A woman in an orn_.mp4,agent_generate_video - Cinematic single continuous take_ no cuts_ A woman in an orn_.mp4,33,24.0,193,8.041666666666666,3,0.75,0.7808888554573059,0.8859554529190063
59,SETSUKA,work/sources/SETSUKA/runway雪華/Add elegant cinematic magic to the existing architectural tr.mp4,Add elegant cinematic magic to the existing architectural tr.mp4,16,24.0,96,4.0,7,1.75,0.9941496508462089,0.9959720373153687
60,SETSUKA,work/sources/SETSUKA/runway雪華/Animate the supplied start and end frames as one continuous.mp4,Animate the supplied start and end frames as one continuous.mp4,21,24.0,121,5.041666666666667,15,3.75,0.9935266296068828,0.9956587553024292
61,SETSUKA,work/sources/SETSUKA/runway雪華/Create a seamless transition from the supplied moon-gate rea.mp4,Create a seamless transition from the supplied moon-gate rea.mp4,17,24.0,97,4.041666666666667,12,3.0,0.9187227785587311,0.9923484921455383
62,SETSUKA,work/sources/SETSUKA/runway雪華/Create a seamless transition from the supplied snowy forest.mp4,Create a seamless transition from the supplied snowy forest.mp4,17,24.0,97,4.041666666666667,18,4.5,0.7919878082142936,0.9939359426498413
63,SETSUKA,work/sources/SETSUKA/runway雪華/Create a seamless transition from the supplied snowy palace.mp4,Create a seamless transition from the supplied snowy palace.mp4,17,24.0,97,4.041666666666667,12,3.0,0.8473344047864279,0.9815201759338379
64,SETSUKA,work/sources/SETSUKA/runway雪華/Create one continuous cinematic 4-second transition using th.mp4,Create one continuous cinematic 4-second transition using th.mp4,17,24.0,97,4.041666666666667,23,5.75,0.8677563259135121,0.9986520409584045
65,SETSUKA,work/sources/SETSUKA/runway雪華/Create one continuous five-second continuity bridge between.mp4,Create one continuous five-second continuity bridge between.mp4,21,24.0,121,5.041666666666667,14,3.5,0.9800513514450618,0.996159553527832
66,SETSUKA,work/sources/SETSUKA/runway雪華/Create one continuous five-second continuity bridge from the.mp4,Create one continuous five-second continuity bridge from the.mp4,21,24.0,121,5.041666666666667,13,3.25,0.9845908605135404,0.9956620931625366
67,SETSUKA,work/sources/SETSUKA/runway雪華/Create one continuous five-second continuity bridge_ Treat t.mp4,Create one continuous five-second continuity bridge_ Treat t.mp4,21,24.0,121,5.041666666666667,15,3.75,0.9760633865992229,0.9946017861366272
68,SETSUKA,work/sources/SETSUKA/runway雪華/Create one continuous five-second motion between the supplie (1).mp4,Create one continuous five-second motion between the supplie (1).mp4,21,24.0,121,5.041666666666667,14,3.5,0.9829967873437064,0.9951122403144836
69,SETSUKA,work/sources/SETSUKA/runway雪華/Create one continuous five-second motion between the supplie.mp4,Create one continuous five-second motion between the supplie.mp4,21,24.0,121,5.041666666666667,6,1.5,0.9439122676849365,0.9947381019592285
70,SETSUKA,work/sources/SETSUKA/runway雪華/Create one continuous five-second palace-approach motion bet.mp4,Create one continuous five-second palace-approach motion bet.mp4,21,24.0,121,5.041666666666667,10,2.5,0.9312697768211364,0.9942429661750793
71,SETSUKA,work/sources/SETSUKA/runway雪華/Single continuous five-second opening shot using the supplie.mp4,Single continuous five-second opening shot using the supplie.mp4,21,24.0,121,5.041666666666667,6,1.5,0.9056247770786285,0.995646595954895
72,SETSUKA,work/sources/SETSUKA/runway雪華/Single continuous five-second shot using the supplied images.mp4,Single continuous five-second shot using the supplied images.mp4,21,24.0,121,5.041666666666667,15,3.75,0.9769046783447266,0.9953663945198059
73,SETSUKA,work/sources/SETSUKA/runway雪華/Use the supplied source clip as the exact motion base and pr.mp4,Use the supplied source clip as the exact motion base and pr.mp4,21,24.0,121,5.041666666666667,16,4.0,0.7896018493920565,0.9956007599830627
74,MAGIC,work/sources/MAGIC/runway魔幻/Create one continuous 4-second cinematic ending transition s.mp4,Create one continuous 4-second cinematic ending transition s.mp4,17,24.0,97,4.041666666666667,27,6.75,0.6893231636948056,0.9968980550765991
75,MAGIC,work/sources/MAGIC/runway魔幻/Create one continuous five-second repair bridge between the.mp4,Create one continuous five-second repair bridge between the.mp4,21,24.0,121,5.041666666666667,13,3.25,0.9921428882158719,0.9934031963348389
76,MAGIC,work/sources/MAGIC/runway魔幻/Create one continuous five-second repair bridge for the midd.mp4,Create one continuous five-second repair bridge for the midd.mp4,21,24.0,121,5.041666666666667,20,5.0,0.9520322799682617,0.9844963550567627
77,MAGIC,work/sources/MAGIC/runway魔幻/Create one continuous five-second repair shot for the look-b.mp4,Create one continuous five-second repair shot for the look-b.mp4,21,24.0,121,5.041666666666667,20,5.0,0.9909995883703232,0.9925875663757324
78,MAGIC,work/sources/MAGIC/runway魔幻/Create one continuous five-second replacement bridge ONLY fo.mp4,Create one continuous five-second replacement bridge ONLY fo.mp4,21,24.0,121,5.041666666666667,21,5.25,0.8380723879450843,0.9910735487937927
79,MAGIC,work/sources/MAGIC/runway魔幻/One continuous five-second invitation gesture from the suppl (1).mp4,One continuous five-second invitation gesture from the suppl (1).mp4,21,24.0,121,5.041666666666667,2,0.5,0.9922972023487091,0.9926134347915649
80,MAGIC,work/sources/MAGIC/runway魔幻/One continuous five-second invitation gesture from the suppl.mp4,One continuous five-second invitation gesture from the suppl.mp4,21,24.0,121,5.041666666666667,22,5.5,0.4030388512394645,0.4308358132839203
81,MAGIC,work/sources/MAGIC/runway魔幻/One continuous five-second opening shot_ The camera is compl.mp4,One continuous five-second opening shot_ The camera is compl.mp4,21,24.0,121,5.041666666666667,28,7.0,0.6757225553904261,0.9850597381591797
82,MAGIC,work/sources/MAGIC/runway魔幻/One continuous five-second portrait shot from the supplied m.mp4,One continuous five-second portrait shot from the supplied m.mp4,21,24.0,121,5.041666666666667,7,1.75,0.48911504234586445,0.987960934638977
83,MAGIC,work/sources/MAGIC/runway魔幻/One continuous five-second shot connecting the supplied wide.mp4,One continuous five-second shot connecting the supplied wide.mp4,21,24.0,121,5.041666666666667,20,5.0,0.9515276342630387,0.9838958382606506
84,MAGIC,work/sources/MAGIC/runway魔幻/Regenerate this exact five-second invitation_reaching shot w.mp4,Regenerate this exact five-second invitation_reaching shot w.mp4,21,24.0,121,5.041666666666667,1,0.25,0.9926743507385254,0.9926743507385254
85,MAGIC,work/sources/MAGIC/runway魔幻/Single continuous five-second final architectural ending sho.mp4,Single continuous five-second final architectural ending sho.mp4,21,24.0,121,5.041666666666667,3,0.75,0.47423499822616577,0.5395714640617371
